date,mf_type,sip_type,nav
18-Aug-2021,Regular,SIP,93.3368
08-Sep-2021,Regular,SIP,97.2457
08-Oct-2021,Regular,SIP,103.7498
08-Nov-2021,Regular,SIP,106.3016
08-Apr-2022,Regular,SIP,106.6038
08-Jul-2022,Regular,SIP,99.2916
10-Oct-2022,Regular,SIP,115.1501
09-Nov-2022,Regular,SIP,115.1919
10-Apr-2023,Regular,SIP,109.7485
08-May-2023,Regular,SIP,115.0462
10-Jul-2023,Regular,SIP,124.17
08-Nov-2023,Regular,SIP,133.5773
08-Dec-2023,Regular,SIP,141.4643
08-Jan-2024,Regular,SIP,144.0405
08-Feb-2024,Regular,SIP,149.3226
10-Jun-2024,Regular,SIP,169.7371
09-Sep-2024,Regular,SIP,183.7446
08-Oct-2024,Regular,SIP,184.4937
08-Nov-2024,Regular,SIP,178.3251
09-Dec-2024,Regular,SIP,183.6903
